Country Name,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,Stringency Index,Government Response Index,Containment Health Index,Economic Support Index
Australia,20201225,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201226,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201227,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201228,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201229,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201230,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20201231,1,3,2,4,1,2,2,4,1,2,0,0,2,2,2,0,0,2,0,2,70.83,65.1,63.69,75
Australia,20210101,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,2,0,2,70.83,61.98,63.69,50
Australia,20210102,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,2,0,2,70.83,61.98,63.69,50
Australia,20210103,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,2,0,2,70.83,61.98,63.69,50
Australia,20210104,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,7736600,2,0,2,70.83,61.98,63.69,50
Australia,20210105,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,2,0,2,70.83,61.98,63.69,50
Australia,20210106,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,2,0,2,70.83,61.98,63.69,50
Australia,20210107,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,2,0,2,70.83,61.98,63.69,50
Australia,20210108,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,2,70.83,66.15,68.45,50
Australia,20210109,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,2,70.83,66.15,68.45,50
Australia,20210110,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,4,0,2,70.83,66.15,68.45,50
Australia,20210111,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210112,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210113,1,1,1,4,1,0,2,4,1,1,3878657,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210114,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210115,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210116,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210117,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210118,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210119,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210120,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210121,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210122,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210123,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210124,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210125,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210126,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210127,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,363000000,2,0,2,55.09,54.95,55.65,50
Australia,20210128,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210129,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210130,1,1,1,4,1,0,2,4,1,1,0,0,2,2,2,0,0,2,0,2,55.09,54.95,55.65,50
Australia,20210131,1,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,3,0,3,70.83,65.62,67.86,50
Australia,20210201,3,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,3,0,3,78.24,69.79,72.62,50
Australia,20210202,3,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,3,0,3,78.24,69.79,72.62,50
Australia,20210203,3,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,3,0,3,78.24,69.79,72.62,50
Australia,20210204,3,3,2,4,1,2,2,4,1,1,0,0,2,2,2,0,0,3,0,3,78.24,69.79,72.62,50
Australia,20210205,3,2,1,3,1,0,2,4,1,1,0,0,2,2,2,0,0,3,0,2,63.43,60.42,61.9,50
